,index,latitude,longitude,region,country,observationDate,reportingDate,status,disease,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,Late Report,Late Observation,Mortality,Severity,domestic,wild,unspecified,species,owl,ostrich,greylag goose,bird,captive,tufted duck,guinea fowl,black headed gull,whooper swan,quail,environmental sample,dalmatian pelican,anatidae,goose,horse,dog,yaks,equidae,spotted dove,gull,ibex,emu,swine,chicken,env. sample,boar,mammal,buffaloe,black swan,duck,cattle egret,indian peafowl,turkey,reindeer,cat,goat,crow,swan,phasianidae,muscovy ducks,starling,hippopotamus,mallard,herring gull,deer,pheasant,elephant,goat/sheep ,jackal,accipitridae,buzzard,asian openbill,cattle,pigeon,xpeacock,sheep,stork,camelidae,greater flamingo,mute swan
22,32,-25.8,29.6,Africa,South Africa,2017-07-08,2017-11-08,Confirmed,Influenza - Avian,"domestic, unspecified bird",326764.0,975.0,975.0,325789.0,0.0,123,0,100.0,0.3,1,0,1,'bird',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,33,51.660725,23.436161,Europe,Poland,2017-06-08,2017-08-17,Confirmed,African swine fever,"domestic, swine",141.0,5.0,0.0,141.0,0.0,70,0,0.0,3.55,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,35,51.904159,46.499719,Europe,Russian Federation,2017-04-08,2017-11-08,Confirmed,African swine fever,"domestic, swine",2.0,1.0,1.0,1.0,0.0,214,0,100.0,50.0,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,36,58.02053299999999,31.476616999999997,Europe,Russian Federation,2017-04-08,2017-11-08,Confirmed,African swine fever,"domestic, swine",29.0,1.0,1.0,28.0,0.0,214,0,100.0,3.45,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,41,-26.0,27.8,Africa,South Africa,2017-04-08,2017-07-08,Confirmed,Influenza - Avian,"domestic, unspecified bird",77000.0,236.0,236.0,4800.0,0.0,91,0,100.0,0.31,1,0,1,'bird',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,45,51.917743,46.578438,Europe,Russian Federation,2017-03-08,2017-11-08,Confirmed,African swine fever,"domestic, swine",9.0,1.0,1.0,8.0,0.0,245,0,100.0,11.11,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,48,55.578286999999996,38.919265,Europe,Russian Federation,2017-03-08,2017-08-08,Confirmed,Influenza - Avian,"domestic, unspecified bird",64.0,21.0,21.0,43.0,0.0,153,0,100.0,32.81,1,0,1,'bird',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,49,47.180163,40.888222999999996,Europe,Russian Federation,2017-02-08,2017-11-08,Confirmed,African swine fever,"domestic, swine",20.0,1.0,1.0,19.0,0.0,273,0,100.0,5.0,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,50,51.804066999999996,46.227996000000005,Europe,Russian Federation,2017-01-08,2017-11-08,Confirmed,African swine fever,"domestic, swine",47.0,1.0,1.0,46.0,0.0,304,0,100.0,2.13,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,53,45.248502,10.996098,Europe,Italy,2017-01-08,2017-03-08,Confirmed,Influenza - Avian,"domestic, turkey",5642.0,1241.0,1241.0,4401.0,0.0,59,0,100.0,22.0,1,0,0,'turkey',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,55,-26.8,29.3,Africa,South Africa,2017-01-08,2017-03-08,Confirmed,Influenza - Avian,"domestic, unspecified bird",398723.0,301.0,301.0,0.0,0.0,59,0,100.0,0.08,1,0,1,'bird',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,61,51.664522,46.838921,Europe,Russian Federation,2017-07-28,2017-01-08,Confirmed,African swine fever,"domestic, swine",12.0,2.0,1.0,1.0,0.0,0,201,50.0,16.67,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,62,49.028591999999996,27.550671,Europe,Ukraine,2017-07-28,2017-01-08,Confirmed,African swine fever,"domestic, swine",11.0,1.0,1.0,10.0,0.0,0,201,100.0,9.09,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,69,51.655528000000004,23.274472,Europe,Poland,2017-07-27,2017-07-31,Confirmed,African swine fever,"domestic, swine",65.0,21.0,4.0,61.0,0.0,4,0,19.05,32.31,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,72,37.6133,22.75,Europe,Greece,2017-07-27,2017-07-31,Confirmed,West Nile Fever,"domestic, equidae",2.0,2.0,0.0,0.0,0.0,4,0,0.0,100.0,1,0,0,'equidae',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,73,37.6408,22.8067,Europe,Greece,2017-07-27,2017-07-31,Confirmed,West Nile Fever,"domestic, equidae",1.0,1.0,0.0,0.0,0.0,4,0,0.0,100.0,1,0,0,'equidae',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,74,37.6367,22.7617,Europe,Greece,2017-07-27,2017-07-31,Confirmed,West Nile Fever,"domestic, equidae",2.0,1.0,0.0,0.0,0.0,4,0,0.0,50.0,1,0,0,'equidae',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,75,37.5961,22.8369,Europe,Greece,2017-07-27,2017-07-31,Confirmed,West Nile Fever,"domestic, equidae",3.0,1.0,0.0,0.0,0.0,4,0,0.0,33.33,1,0,0,'equidae',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,76,37.6164,22.8017,Europe,Greece,2017-07-27,2017-07-31,Confirmed,West Nile Fever,"domestic, equidae",2.0,1.0,0.0,0.0,0.0,4,0,0.0,50.0,1,0,0,'equidae',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,77,37.6881,22.7086,Europe,Greece,2017-07-27,2017-07-31,Confirmed,West Nile Fever,"domestic, equidae",2.0,1.0,0.0,0.0,0.0,4,0,0.0,50.0,1,0,0,'equidae',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,78,37.6408,22.8806,Europe,Greece,2017-07-27,2017-07-31,Confirmed,West Nile Fever,"domestic, equidae",1.0,1.0,0.0,0.0,0.0,4,0,0.0,100.0,1,0,0,'equidae',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,79,-17.81,24.06,Africa,Namibia,2017-07-27,2017-01-08,Confirmed,Foot and mouth disease,"domestic, cattle",500.0,15.0,0.0,0.0,0.0,0,200,0.0,3.0,1,0,0,'cattle',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44,80,45.161023,10.637780000000001,Europe,Italy,2017-07-27,2017-07-31,Confirmed,Influenza - Avian,"domestic, unspecified bird",123463.0,123463.0,2537.0,0.0,0.0,4,0,2.05,100.0,1,0,1,'bird',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,82,47.75667,22.839660000000002,Europe,Romania,2017-07-27,2017-07-31,Confirmed,African swine fever,"domestic, swine",4.0,1.0,1.0,3.0,0.0,4,0,100.0,25.0,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,90,51.631592,23.493614,Europe,Poland,2017-07-26,2017-07-31,Confirmed,African swine fever,"domestic, swine",36.0,9.0,1.0,35.0,0.0,5,0,11.11,25.0,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,91,53.498167,22.771306,Europe,Poland,2017-07-26,2017-07-31,Confirmed,African swine fever,"domestic, swine",7.0,7.0,5.0,2.0,0.0,5,0,71.43,100.0,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,96,49.288897,43.994673999999996,Europe,Russian Federation,2017-07-25,2017-01-08,Confirmed,African swine fever,"domestic, swine",12.0,3.0,3.0,9.0,0.0,0,198,100.0,25.0,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,100,52.033207,23.656527,Europe,Poland,2017-07-25,2017-07-31,Confirmed,African swine fever,"domestic, swine",17.0,8.0,2.0,15.0,0.0,6,0,25.0,47.06,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,101,51.887278,22.663608,Europe,Poland,2017-07-25,2017-07-31,Confirmed,African swine fever,"domestic, swine",25.0,12.0,0.0,25.0,0.0,6,0,0.0,48.0,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,103,51.480292,23.628535999999997,Europe,Poland,2017-07-24,2017-07-31,Confirmed,African swine fever,"domestic, swine",1905.0,46.0,20.0,1885.0,0.0,7,0,43.48,2.41,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,106,-26.9,28.9,Africa,South Africa,2017-07-24,2017-07-31,Confirmed,Influenza - Avian,"domestic, unspecified bird",600.0,87.0,87.0,413.0,0.0,7,0,100.0,14.5,1,0,1,'bird',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,111,48.5977,44.558,Europe,Russian Federation,2017-07-23,2017-01-08,Confirmed,African swine fever,"domestic, swine",4.0,1.0,1.0,3.0,0.0,0,196,100.0,25.0,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,112,48.666000000000004,44.053000000000004,Europe,Russian Federation,2017-07-23,2017-01-08,Confirmed,African swine fever,"domestic, swine",13.0,1.0,1.0,12.0,0.0,0,196,100.0,7.69,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,116,16.8,96.15,Asia,Myanmar,2017-07-23,2017-07-31,Confirmed,Influenza - Avian,"domestic, chicken",25.0,6.0,6.0,19.0,0.0,8,0,100.0,24.0,1,0,0,'chicken',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
